name,nat,dob,bp,ateam,league,year,dteam,overall,removed,why,height,weight,pos,shoots
Scott Selig,USA,1981-03-02,"Philadelphia, PA  USA",Thayer Academy,USHSE,2000-01-01,8,172,N,,73.0,178.0,C,R
Tomas Harant,SVK,1980-04-28,"Zilina, Slovakia",Zilina,,2000-01-01,18,173,N,,73.0,180.0,D,L
Jarno Kultanen,FIN,1973-01-08,"Luumaki, Finland",Ifk Helsinki,,2000-01-01,6,174,N,,74.0,198.0,D,L
Sven Helfenstein,CHE,1982-07-30,"Winterthur, Switzerland",Kloten,SUI,2000-01-01,3,175,N,,70.0,176.0,C,R
Jukka Hentunen,FIN,1974-05-03,"Joroinen, Finland",Hpk Hameenlinna,FINLAND,2000-01-01,20,176,N,,70.0,190.0,C,R
Michael Ayers,USA,1980-01-16,"Weymouth, MA  USA",Dubuque,USHL,2000-01-01,16,177,N,,71.0,186.0,G,L
Jeff Dwyer,USA,1980-11-22,"New Canaan, CT  USA",Choate Academy,Conn.,2000-01-01,11,178,N,,74.0,205.0,D,L
Vadim Sozinov,KAZ,1981-06-17,"Pavlodar, Kazakhstan",Novokuznetsk 2,Russia-Jr.,2000-01-01,10,179,N,,73.0,187.0,C,L
Darcy Hordichuk,CAN,1980-08-10,"Kamsack, SK  CAN",Saskatoon,NSJHL,2000-01-01,11,180,N,,73.0,211.0,LW,L
Justin Forrest,USA,1981-04-15,"Auburnester, NY  USA",Usa U-18,USA,2000-01-01,12,181,N,,69.0,185.0,D,L
Petr Chvojka,CZE,1982-05-27,"Slany, Czech Republic",Plzen Jr.,,2000-01-01,8,182,N,,72.0,189.0,D,L
Michal Macho,SVK,1982-01-17,"Martin, Slovakia",Martin,SVK,2000-01-01,28,183,N,,72.0,169.0,C,R
Shaun Norrie,CAN,1982-09-15,"Calgary, AB  CAN",Calgary,WHL,2000-01-01,22,184,N,,74.0,180.0,RW,R
Patrick Foley,USA,1981-01-24,"Boston, MA  USA",U. Of New Hampshire,NCAA,2000-01-01,5,185,N,,73.0,216.0,LW,L
Brent Gauvreau,CAN,1980-06-29,"Sudbury, ON  CAN",Oshawa,OHL,2000-01-01,27,186,N,,75.0,191.0,C,R
Per Backer,SWE,1982-01-04,"Grums, Sweden",Grums,SWEDEN,2000-01-01,17,187,N,,73.0,180.0,C,L
Jason Maleyko,CAN,1980-05-24,"Windsor, ON  CAN",Brampton,OHL,2000-01-01,9,188,N,,73.0,211.0,D,L
Chris Bahen,CAN,1980-11-16,"Montreal, QC  CAN",Clarkson U.,NCAA,2000-01-01,21,189,N,,73.0,180.0,D,L
Josh Olson,USA,1981-07-13,"Grand Forks, ND  USA",Omaha,USHL,2000-01-01,13,190,N,,75.0,236.0,LW,L
Aaron Gionet,CAN,1982-06-28,"Campbell River, BC  CAN",Kamloops,WHL,2000-01-01,14,191,N,,74.0,191.0,D,R
Ladislav Vlcek,CZE,1981-09-26,"Kladno, Czech Republic",Kladno Jr.,CZE JR.,2000-01-01,25,192,N,,72.0,172.0,C,L
Joey Martin,USA,1981-07-17,"Fridley, MN  USA",Omaha,USHL,2000-01-01,16,193,N,,74.0,198.0,D,L
Deryk Engelland,CAN,1982-04-03,"Edmonton, AB  CAN",Moose Jaw,WHL,2000-01-01,1,194,N,,74.0,202.0,D,R
Colin Shields,GBR,1980-01-27,"Glasgow, United Kingdom",Cleveland,NAHL,2000-01-01,4,195,N,,72.0,190.0,RW,R
Paul Ballantyne,CAN,1982-07-16,"Waterloo, ON  CAN",Sault Ste. Marie,OHL,2000-01-01,17,196,N,,75.0,200.0,D,R
Zbynek Irgl,CZE,1980-11-29,"Ostrava, Czech Republic",Hc Vitkovice,,2000-01-01,18,197,N,,70.0,178.0,C,R
Drew Fata,CAN,1983-07-28,"Sault Ste. Marie, ON  CAN",Toronto St. Michael'S,OHL,2001-01-01,5,86,N,,73.0,209.0,D,L
Per Mars,SWE,1982-10-23,"Gävle, Sweden",Brynas,SWEDEN,2001-01-01,29,87,N,,75.0,205.0,LW,L
Nicolas Corbeil,CAN,1983-03-30,"Laval, QC  CAN",Sherbrooke,QMJHL,2001-01-01,10,88,N,,70.0,177.0,C,R
Tuomas Nissinen,FIN,1983-07-17,"Kuopio, Finland",Kalpa,Finland Jr.,2001-01-01,19,89,N,,72.0,176.0,G,L
Owen Fussey,CAN,1983-04-02,"Winnipeg, MB  CAN",Calgary,WHL,2001-01-01,15,90,N,,72.0,195.0,RW,L
Kevin Estrada,CAN,1982-05-28,"Surrey, BC  CAN",Chilliwack,BCJHL,2001-01-01,12,91,N,,70.0,180.0,LW,L
Anthony Aquino,CAN,1982-08-01,"Mississauga, ON  CAN",Merrimack,H-EAST,2001-01-01,25,92,N,,70.0,190.0,RW,R
Stephane Veilleux,CAN,1981-11-16,"Beauceville, QC  CAN",Val D'Or,QMJHL,2001-01-01,30,93,N,,73.0,190.0,C,L
Evgeny Artyukhin,RUS,1983-04-04,"Moscow, Russia",Podolsk,Russia,2001-01-01,14,94,N,,76.0,255.0,RW,L
Patrick Sharp,CAN,1981-12-27,"Winnipeg, MB  CAN",U. Of Vermont,ECAC,2001-01-01,4,95,N,,73.0,199.0,C,R
Alexandre Rouleau,CAN,1983-07-29,"Mont-Laurier, QC  CAN",Val D'Or,QMJHL,2001-01-01,5,96,N,,73.0,180.0,D,L
Danny Bois,CAN,1983-06-01,"Thunder Bay, ON  CAN",London,OHL,2001-01-01,21,97,N,,72.0,196.0,RW,R
Jordin Tootoo,CAN,1983-02-02,"Churchill, MB  CAN",Brandon,WHL,2001-01-01,18,98,N,,69.0,197.0,RW,R
Ray Emery,CAN,1982-09-28,"Hamilton, ON  CAN",Sault Ste. Marie,OHL,2001-01-01,9,99,N,,74.0,196.0,G,L
Brian Sipotz,USA,1981-09-16,"South Bend, IN  USA",Miami University,CCHA,2001-01-01,11,100,N,,79.0,250.0,D,R
Cory Stillman,CAN,1983-03-02,"Lindsay, ON  CAN",Kingston,OHL,2001-01-01,2,101,N,,75.0,215.0,C,L
Timo Parssinen,FIN,1977-01-19,"Lohja, Finland",Hpk,FINLAND,2001-01-01,24,102,N,,70.0,196.0,C,L
Tony Virta,FIN,1972-06-28,"Hämeenlinna, Finland",Tps,FINLAND,2001-01-01,30,103,N,,70.0,187.0,RW,L
Brent Maclellan,CAN,1983-03-23,"Halifax, NS  CAN",Rimouski,QMJHL,2001-01-01,16,104,N,,75.0,211.0,D,R
Adam Berkhoel,USA,1981-05-16,"St. Paul, MN  USA",Twin Cities,,2000-01-01,16,240,N,,71.0,185.0,G,L
Nathan Barrett,CAN,1981-08-03,"Vancouver, BC  CAN",Lethbridge,WHL,2000-01-01,23,241,N,,72.0,189.0,C,L
Evan Nielsen,USA,1981-05-28,"Evanston, IL  USA",U. Of Notre Dame,CCHA,2000-01-01,11,242,N,,73.0,195.0,D,R
Joni Puurula,FIN,1982-08-04,"Kokkola, Finland",Hermes Div. 1,,2000-01-01,8,243,N,,71.0,180.0,G,L
Eric Bowen,USA,1981-10-30,"Los Angeles, CA  USA",Portland,WHL,2000-01-01,11,244,N,,75.0,225.0,RW,R
Dan Welch,USA,1981-02-23,"Lansing, MI  USA",U. Of Minnesota,NCAA,2000-01-01,26,245,N,,69.0,199.0,RW,R
Chad Wiseman,CAN,1981-03-25,"Burlington, ON  CAN",Mississauga,OHABC,2000-01-01,28,246,N,,73.0,205.0,LW,L
Jason Platt,USA,1981-04-29,"San Francisco, CA  USA",Omaha,USHL,2000-01-01,22,247,N,,73.0,210.0,D,L
Steven Crampton,CAN,1982-04-12,"Winnipeg, MB  CAN",Moose Jaw,WHL,2000-01-01,5,248,N,,75.0,197.0,RW,R
Sami Venalainen,FIN,1981-10-14,"Kangasala, Finland",Tappara Jr.,FINLAND,2000-01-01,27,249,N,,71.0,183.0,RW,R
Flavien Conne,CHE,1980-04-01,"Geneva, Switzerland",Freibourg,SUI,2000-01-01,26,250,N,,70.0,176.0,C,L
Todd Jackson,USA,1981-04-10,"Syracuse, NY  USA",Usa U-18,USA,2000-01-01,17,251,N,,71.0,170.0,RW,R
Darryl Bootland,CAN,1981-11-02,"Toronto, ON  CAN",Toronto St. Michael'S,OHL,2000-01-01,21,252,N,,73.0,197.0,RW,R
Mathew Sommerfeld,CAN,1982-04-26,"Prince Albert, SK  CAN",Swift Current,WHL,2000-01-01,13,253,N,,74.0,192.0,LW,L
Alexander Shinkar,RUS,1981-07-03,"Ufasia, Russia",Cherepovec,Russia,2000-01-01,10,254,N,,72.0,176.0,RW,L
Eric Johansson,CAN,1982-01-07,"Edmonton, AB  CAN",Tri-City,WHL,2000-01-01,30,255,Y,Unsigned,72.0,190.0,C,L
Pasi Saarinen,FIN,1977-04-17,"Tampere, Finland",Ilves,FINLAND,2000-01-01,28,256,N,,71.0,189.0,D,R
Warren Mccutcheon,CAN,1982-08-06,"Morden, MB  CAN",Lethbridge,WHL,2000-01-01,1,257,N,,75.0,188.0,C,L
Sean Mcmorrow,CAN,1982-01-19,"Vancouver, BC  CAN",Kitchener,OHL,2000-01-01,7,258,N,,76.0,224.0,D,R
Regan Kelly,CAN,1981-03-09,"Watrous, SK  CAN",Nipawin,,2000-01-01,4,259,N,,74.0,200.0,D,L
Evgeni Bumagin,RUS,1982-04-07,"Belgorod, Russia",Hk Moscow,,2000-01-01,17,260,N,,71.0,176.0,RW,L
Reinhard Divis,AUT,1975-07-04,"Vienna, Austria",Leksand,SWEDEN,2000-01-01,19,261,N,,71.0,197.0,G,L
Peter Flache,CAN,1982-03-04,"Toronto, ON  CAN",Guelph,OHL,2000-01-01,16,262,N,,76.0,190.0,C,L
Thomas Ziegler,CHE,1978-06-09,"Zurich, Switzerland",Hc Ambri Piotta,,2000-01-01,14,263,N,,71.0,176.0,C,L
Dimitri Altaryov,RUS,1980-08-12,"Penza, Russia",Penza,,2000-01-01,2,264,N,,72.0,191.0,C,L
Jean-Philippe Cote,CAN,1982-04-22,"Charlesbourg, QC  CAN",Cape Breton,QMJHL,2000-01-01,10,265,N,,74.0,216.0,D,L
Sean Kotary,USA,1981-04-28,"New Hartford, NY  USA",Northwood Prep,USHSE,2000-01-01,21,266,N,,72.0,181.0,C,R
Tomi Pettinen,FIN,1977-06-17,"Ylöjärvi, Finland",Ilves Tampere,FINLAND,2000-01-01,2,267,N,,75.0,220.0,D,L
Pavel Kolarik,CZE,1972-10-24,"Vyskov, Czech Republic",Slavia Praha,CZECH,2000-01-01,6,268,N,,73.0,207.0,D,L
Martin Richter,CZE,1977-12-06,"Prostejov, Czech Republic",Saipa,FINLAND,2000-01-01,3,269,N,,72.0,189.0,D,L
Micki Dupont,CAN,1980-04-15,"Calgary, AB  CAN",Kamloops,WHL,2000-01-01,20,270,N,,70.0,186.0,D,R
Reto Von Arx,CHE,1976-09-13,"Egerkingen, Switzerland",Davos,SwissA,2000-01-01,16,271,N,,70.0,179.0,C,L
Tim Smith,CAN,1981-07-21,"Whitecourt, AB  CAN",Spokane,WHL,2000-01-01,23,272,N,,69.0,160.0,C,L
Roman Simicek,CZE,1971-11-04,"Ostrava, Czech Republic",Hpk Hameenlinna,FINLAND,2000-01-01,5,273,N,,74.0,210.0,C,R
Evgeny Muratov,RUS,1981-01-28,"Nizhny Tagil, Russia",Neftechimik,Russia,2000-01-01,22,274,N,,69.0,178.0,LW,R
Jonathan Gauthier,CAN,1980-02-16,"Hauterive, QC  CAN",Rouyn-Noranda,QMJHL,2000-01-01,8,275,N,,74.0,187.0,D,L
Troy Ferguson,CAN,1980-09-30,"Calgary, AB  CAN",Michigan State U.,NCAA,2000-01-01,12,276,N,,69.0,165.0,C,R
Ryan Courtney,CAN,1982-03-08,"Peterborough, ON  CAN",Windsor,OHL,2000-01-01,7,277,N,,75.0,195.0,LW,L
Martin Paroulek,CZE,1979-11-04,"Uherské Hradit?, Czech Republic",Vsetin Hc Vsetin,CZECH,2000-01-01,29,278,N,,74.0,183.0,RW,R
Andreas Lindstrom,SWE,1982-09-01,,Lulea Jr.,SWEDEN-JR.,2000-01-01,6,279,N,,75.0,215.0,LW,L
Nick Boucher,CAN,1980-12-29,"Leduc, AB  CAN",Dartmouth College,ECAC,2000-01-01,5,280,N,,71.0,175.0,G,L
Peter Fabus,SVK,1979-07-15,"Ilava, Slovakia",Trencin,CZECH,2000-01-01,27,281,N,,73.0,191.0,C,L
Carl Grahn,FIN,1981-01-08,"Kouvola, Finland",Kalpa Jr.,Finland Jr.,2000-01-01,26,282,N,,72.0,169.0,G,L
James Demone,CAN,1982-07-01,"St. Albert, AB  CAN",Portland,WHL,2000-01-01,9,283,N,,77.0,220.0,D,L
Martin Hohener,CHE,1980-06-23,"Zurich, Switzerland",Kloten,SUI,2000-01-01,18,284,N,,73.0,172.0,D,L
Blake Ward,CAN,1982-01-18,"Lloydminster, AB  CAN",Tri-City,WHL,2000-01-01,21,285,N,,73.0,190.0,G,L
Andrej Nedorost,SVK,1980-04-30,"Trencin, Slovakia",Trencin Jr.,CZECH,2000-01-01,29,286,N,,73.0,199.0,C,L
Milan Kopecky,CZE,1981-05-11,"Praha, Czech Republic",Slavia Praha Jr.,Czech,2000-01-01,4,287,N,,72.0,176.0,LW,L
Mark Mcrae,CAN,1981-04-29,"Toronto, ON  CAN",Cornell U.,NCAA,2000-01-01,11,288,N,,72.0,175.0,D,R
Bjorn Nord,SWE,1972-04-05,"Huddinge, Sweden",Djurgarden,SWEDEN,2000-01-01,15,289,N,,72.0,198.0,D,L
Simon Gamache,CAN,1981-01-03,"Thetford Mines, QC  CAN",Val D'Or,QMJHL,2000-01-01,11,290,N,,70.0,186.0,C,L
Arne Ramholt,CHE,1976-05-20,"Zurich, Switzerland",Kloten,SUI,2000-01-01,16,291,N,,75.0,215.0,D,R
Louis Mandeville,CAN,1982-05-03,"Sorel, QC  CAN",Rouyn-Noranda,QMJHL,2000-01-01,29,292,N,,74.0,193.0,D,L
Lauri Kinos,FIN,1980-06-29,"Jyväskylä, Finland",Montreal,EXHIB,2000-01-01,19,293,N,,74.0,195.0,D,L
Ilya Kovalchuk,RUS,1983-04-15,"Tver, Russia",Spartak,Russia,2001-01-01,11,1,N,,75.0,230.0,C,R
Jason Spezza,CAN,1983-06-13,"Toronto, ON  CAN",Windsor,OHL,2001-01-01,9,2,N,,75.0,216.0,C,R
Alexander Svitov,RUS,1982-11-03,"Omsk, Russia",Omsk,Russia,2001-01-01,14,3,N,,75.0,228.0,C,L
Stephen Weiss,CAN,1983-04-03,"Toronto, ON  CAN",Plymouth,OHL,2001-01-01,13,4,N,,71.0,185.0,C,L
Stanislav Chistov,RUS,1983-04-17,"Chelyabinsk, Russia",Omsk,Russia,2001-01-01,24,5,N,,70.0,193.0,C,R
Mikko Koivu,FIN,1983-03-12,"Turku, Finland",Tps,FINLAND,2001-01-01,30,6,N,,74.0,200.0,C,L
Mike Komisarek,USA,1982-01-19,"West Islip, NY  USA",U. Of Michigan,CCHA,2001-01-01,8,7,N,,76.0,243.0,D,R
Pascal Leclaire,CAN,1982-11-07,"Repentigny, QC  CAN",Halifax,QMJHL,2001-01-01,29,8,N,,74.0,202.0,G,L
Tuomo Ruutu,FIN,1983-02-16,"Vantaa, Finland",Jokerit,FINLAND,2001-01-01,16,9,N,,72.0,205.0,C,L
Daniel Blackburn,CAN,1983-05-20,"Montreal, QC  CAN",Kootenay,WHL,2001-01-01,3,10,N,,73.0,180.0,G,L
Fredrik Sjostrom,SWE,1983-05-06,"Färgelanda, Sweden",Frolunda,SWEDEN,2001-01-01,27,11,N,,73.0,218.0,RW,L
Dan Hamhuis,CAN,1982-12-13,"Smithers, BC  CAN",Prince George,WHL,2001-01-01,18,12,N,,73.0,209.0,D,L
Ales Hemsky,CZE,1983-08-13,"Pardubice, Czech Republic",Hull,QMJHL,2001-01-01,22,13,N,,72.0,184.0,RW,R
Chuck Kobasew,CAN,1982-04-17,"Vancouver, BC  CAN",Boston College,H-EAST,2001-01-01,20,14,N,,72.0,192.0,RW,R
Igor Knyazev,RUS,1983-01-27,"Elektrostal, Russia",Spartak,Russia,2001-01-01,12,15,N,,72.0,208.0,D,L
R.J. Umberger,USA,1982-05-03,"Pittsburgh, PA  USA",Ohio State U.,CCHA,2001-01-01,23,16,N,,74.0,220.0,C,L
Carlo Colaiacovo,CAN,1983-01-27,"Toronto, ON  CAN",Erie,OHL,2001-01-01,10,17,N,,73.0,205.0,D,L
Jens Karlsson,SWE,1982-11-07,"Göteborg, Sweden",Frolunda,SWEDEN,2001-01-01,26,18,N,,75.0,200.0,C,R
Shaone Morrisonn,CAN,1982-12-23,"Vancouver, BC  CAN",Kamloops,WHL,2001-01-01,6,19,N,,76.0,210.0,D,L
